posCode	x	y	z	wx	wy	wz	AreaFactor	NumberFactor	wx/wz	wy/wz	SymmetricNumber	color	colorcode
1,-2_2,-4_3,-7	0.0974726	-0.218685004	0.970662067	0.096948137	-0.221230572	0.970261174	0.005222693	5	0.099919629	-0.228011362	2	5	0x4886AE
1,-2_2,-4_4,-5	0.122526343	-0.170538877	0.97752828	0.125198557	-0.167983333	0.977715948	0.001238882	12	0.128052077	-0.171812	4	41	0x022CA7
1,-2_2,-4_4,-6	0.121752463	-0.194428393	0.973076944	0.124576033	-0.194402861	0.972850073	0.005278341	8	0.128052653	-0.199828181	2	1	0x53B6C2
1,-2_2,-4_4,-7	0.121175839	-0.218267569	0.968164048	0.1238775	-0.220569672	0.967383003	0.001186524	4	0.128054245	-0.228006562	4	17	0x04C315
1,-2_2,-5_2,-7	0.072231033	-0.227076496	0.97095024	0.069703335	-0.231975037	0.970089662	0.002502502	6	0.071852467	-0.239127419	2	22	0x31E8D3
1,-2_2,-5_3,-7	0.097204175	-0.226473796	0.968828046	0.096713268	-0.231440897	0.967859382	0.0107834	5	0.099924917	-0.239126573	1	16	0xB1DC76
1,-2_2,-5_4,-7	0.121015134	-0.225943175	0.966351514	0.123569814	-0.230758916	0.965002	0.002451202	4	0.128051355	-0.239127915	2	11	0x5D8DF5
1,-2_3,-3_4,-4	0.131673418	-0.123292141	0.983340987	0.136767485	-0.125808744	0.982445952	0.002633995	16	0.139211205	-0.128056656	2	42	0xA2B5EF
1,-2_3,-3_4,-5	0.130800213	-0.162152926	0.977732133	0.136149037	-0.156991027	0.977993566	0.005394794	12	0.139212611	-0.160523578	1	43	0xA40B86
1,-2_3,-3_5,-4	0.170555392	-0.122622388	0.977515617	0.167989088	-0.125194959	0.977715485	0.001238712	12	0.171817968	-0.128048457	4	15	0x746209
1,-2_3,-3_5,-5	0.169762929	-0.161121561	0.971978422	0.167234294	-0.156242335	0.97332608	0.002538219	9	0.171817336	-0.160524143	2	4	0x7EE018
1,-2_3,-4_4,-5	0.130739052	-0.170275992	0.976434008	0.135907536	-0.167737959	0.976284408	0.002568203	12	0.139208959	-0.171812596	2	44	0xE06708
1,-2_3,-4_4,-6	0.129952642	-0.194229681	0.971978925	0.13523698	-0.194124769	0.97143863	0.010945543	8	0.139213096	-0.199832252	1	8	0x9D1E9C
1,-2_3,-4_4,-7	0.129387865	-0.218016451	0.967080945	0.134485868	-0.220258068	0.965994157	0.002461807	4	0.139220167	-0.228011802	2	12	0xFE2284
1,-2_3,-4_5,-5	0.169469154	-0.169333172	0.970708703	0.166948301	-0.166936054	0.97164089	0.001208432	9	0.171820991	-0.171808387	4	5	0x4886AE
1,-2_3,-4_5,-6	0.168695844	-0.193044762	0.966330249	0.166125694	-0.193211431	0.966863636	0.005150659	6	0.171819156	-0.199833176	2	6	0x58D62C
1,-2_3,-4_5,-7	0.167885948	-0.216736854	0.961517358	0.165205258	-0.219228723	0.961496853	0.001158394	3	0.171820903	-0.228007739	4	3	0x772E10
1,-2_3,-5_4,-7	0.129142386	-0.225645139	0.965293198	0.134153278	-0.230431533	0.96362394	0.005084528	4	0.139217461	-0.239130146	1	19	0x04696B
1,-2_3,-5_5,-7	0.167575681	-0.224359406	0.959751692	0.164801346	-0.229363921	0.959158659	0.002393186	3	0.17181865	-0.239130324	2	9	0x886BB7
1,-3_1,-5_2,-7	0.064127791	-0.219412931	0.97327471	0.058985739	-0.221883568	0.973153679	0.0025338	6	0.060612974	-0.228004654	2	26	0x94889A
1,-3_2,-5_2,-7	0.072376776	-0.21917376	0.972825652	0.069882193	-0.221739009	0.972508342	0.001211443	6	0.071857679	-0.228007308	4	29	0xEBD1DD
1,-3_2,-5_3,-7	0.0974726	-0.218685004	0.970662067	0.096948137	-0.221230572	0.970261174	0.005222693	5	0.099919629	-0.228011362	2	21	0x99C8AD
